Variable,VIF
Mobile Cellular Subscriptions (per 100 people),90.97759140740887
Fixed Broadband Subsciptions (per 100 people),49.05811635383598
Made a digital in-store merchant payment: using a mobile phone (% age 15+),19775.76616951247
Made a utility payment: using a mobile phone (% age 15+),34.37561592669893
Own a mobile phone (% age 15+),15556.648747347424
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)",60434.46785732247
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",15811.207754079162
Used a mobile phone or the internet to access a financial institution account (% age 15+),13625.289325586604
"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)",1560.2419320072036
"Used a mobile phone or the internet to access an account (% with an account, age 15+)",2020.3811440246086
Used a mobile phone or the internet to access an account(% age 15+),12139.026709766496
Used a mobile phone or the internet to buy something online (% age 15+),235.98455502330225
Used a mobile phone or the internet to check account balance(% age 15+),208.77688837397773
"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)",132.22527924923298
Used a mobile phone or the internet to send money (% age 15+),2690.1989502041297
"GDP per capita, PPP (constant 2021 international $)",574.2689241793845
Population density (people per sq. km of land area),2030.3460563087594
Population growth (annual %),19.35165982279329
"Population, total",178.56791318085598
"Agriculture, forestry, and fishing, value added (percent of GDP)",298.74914215149
Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,580.6666846978893
Food supply quantity (kg/capita/yr)_Starchy Roots,57.47656494140586
Crop production index (2014-2016 = 100),622.1561645179122
foodSupply_stability,5.617539209294391
Rural Access to Electricity(Percent of Population),459.23969324452554
"Fertility rate, total (births per woman)",1248.957811470302
"Life expectancy at birth, total (years)",8619.066911724933
"Mortality rate, infant (per 1,000 live births)",466.44361768020565
Rural population (% of total population),7489.819639517089
