Variable,VIF
Mobile Cellular Subscriptions (per 100 people),39.251571998831416
Fixed Broadband Subsciptions (per 100 people),15.545655654996706
Made a digital in-store merchant payment: using a mobile phone (% age 15+),7.989695564533223
Made a utility payment: using a mobile phone (% age 15+),9.69905207768864
Own a mobile phone (% age 15+),308.2831997671633
Used a mobile phone or the internet to buy something online (% age 15+),42.94130330112338
"GDP per capita, PPP (constant 2021 international $)",22.380004572624262
Population density (people per sq. km of land area),5.843061210821873
Population growth (annual %),11.997178192699975
"Population, total",3.706967333781335
"Agriculture, forestry, and fishing, value added (percent of GDP)",46.558073734905456
Crop production index (2014-2016 = 100),226.64981097476937
foodSupply_stability,2.930252057507001
Rural Access to Electricity(Percent of Population),81.43704692275222
"Fertility rate, total (births per woman)",128.3515961262481
"Mortality rate, infant (per 1,000 live births)",48.3603956623862
Rural population (% of total population),149.28884262749196
