Variable,VIF
Mobile Cellular Subscriptions (per 100 people),87.88500043372201
Fixed Broadband Subsciptions (per 100 people),43.91045747702103
Made a digital in-store merchant payment: using a mobile phone (% age 15+),2183.3840333229386
Made a utility payment: using a mobile phone (% age 15+),31.599349072996436
Own a mobile phone (% age 15+),12056.581352846724
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)",6567.216680308609
Used a mobile phone or the internet to access a financial institution account (% age 15+),5933.877283367654
"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)",1443.9822626362536
"Used a mobile phone or the internet to access an account (% with an account, age 15+)",1696.5625026560704
Used a mobile phone or the internet to access an account(% age 15+),10240.613358005332
Used a mobile phone or the internet to buy something online (% age 15+),235.25786163047144
Used a mobile phone or the internet to check account balance(% age 15+),208.2056885583464
"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)",119.83727062304679
Used a mobile phone or the internet to send money (% age 15+),1368.6936611077444
"GDP per capita, PPP (constant 2021 international $)",572.4516045627854
Population density (people per sq. km of land area),1813.1675130240906
Population growth (annual %),19.05492935275835
"Population, total",171.21227184335845
"Agriculture, forestry, and fishing, value added (percent of GDP)",251.57839349396508
Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,580.1946733982994
Food supply quantity (kg/capita/yr)_Starchy Roots,56.44284451136996
Crop production index (2014-2016 = 100),621.072559037601
foodSupply_stability,4.624675745507741
Rural Access to Electricity(Percent of Population),398.1469021477447
"Fertility rate, total (births per woman)",1240.2920441316123
"Life expectancy at birth, total (years)",8316.790186642498
"Mortality rate, infant (per 1,000 live births)",143.49844455716035
Rural population (% of total population),1849.0345711760472
