Variable,VIF
Mobile Cellular Subscriptions (per 100 people),42.92380058725831
Fixed Broadband Subsciptions (per 100 people),16.947688010763656
Made a digital in-store merchant payment: using a mobile phone (% age 15+),13.242360416928387
Made a utility payment: using a mobile phone (% age 15+),10.324736189236132
Own a mobile phone (% age 15+),681.6791087203306
Used a mobile phone or the internet to buy something online (% age 15+),43.25553647354035
"GDP per capita, PPP (constant 2021 international $)",27.77008811320539
Population density (people per sq. km of land area),8.81057200948923
Population growth (annual %),16.165260662433084
"Population, total",5.351468998166955
"Agriculture, forestry, and fishing, value added (percent of GDP)",50.247842998974555
Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,194.47952234210268
Food supply quantity (kg/capita/yr)_Starchy Roots,8.900943424732853
Crop production index (2014-2016 = 100),333.70803203752445
foodSupply_stability,3.275451336159408
Rural Access to Electricity(Percent of Population),117.28404203243082
"Fertility rate, total (births per woman)",169.87618233309763
"Mortality rate, infant (per 1,000 live births)",53.11054352533461
Rural population (% of total population),203.01450846871862
