Variable,VIF
Mobile Cellular Subscriptions (per 100 people),49.51181229136697
Fixed Broadband Subsciptions (per 100 people),16.97703223716894
Made a digital in-store merchant payment: using a mobile phone (% age 15+),17.40312685901427
Made a utility payment: using a mobile phone (% age 15+),10.330393100008102
Own a mobile phone (% age 15+),789.9293029839265
Used a mobile phone or the internet to buy something online (% age 15+),43.310773020174366
"GDP per capita, PPP (constant 2021 international $)",109.8968313548778
Population density (people per sq. km of land area),15.060385867101477
Population growth (annual %),17.009682969091568
"Population, total",10.0132934001003
"Agriculture, forestry, and fishing, value added (percent of GDP)",72.78576016295257
Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,294.6503960933945
Food supply quantity (kg/capita/yr)_Starchy Roots,9.203407717296855
Crop production index (2014-2016 = 100),335.4933462883589
foodSupply_stability,3.35737442080441
Rural Access to Electricity(Percent of Population),141.8780196850086
"Fertility rate, total (births per woman)",377.8523435119491
"Life expectancy at birth, total (years)",4079.23193694418
"Mortality rate, infant (per 1,000 live births)",61.20229380701337
Rural population (% of total population),274.68114612276474
