,country,year,"Fertility rate, total (births per woman)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty lines (% of population),Rural population (% of total population),Urban population (% of total population),FarmCredit,ICTPolicy,ProductionValue,ProcessingValue,Fertilizer,Account (% age 15+),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)","Account, female (% age 15+)","Account, male (% age 15+)","Account, rural (% age 15+)","Account, urban (% age 15+)",Current account balance (% of GDP),"Current account balance (BoP, current US$)",Financial institution account (% age 15+),"Financial institution account, female (% age 15+)","Financial institution account, male (% age 15+)","Financial institution account, rural (% age 15+)","Financial institution account, urban (% age 15+)","Made a deposit (% with a financial institution account, age 15+)",Made a digital in-store merchant payment (age 15+),Made a digital in-store merchant payment: using a mobile phone (% age 15+),"Made a digital in-store merchant payment: using a mobile phone, female (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, male (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, rural (% age 15+)","Made a digital in-store merchant payment: using a mobile phone, urban (% age 15+)",Made a digital merchant payment (% age 15+),"Made a digital merchant payment, female (% age 15+)","Made a digital merchant payment, male (% age 15+)","Made a digital merchant payment, rural (% age 15+)","Made a digital merchant payment, urban (% age 15+)",Made a digital online merchant payment for an online purchase (% age 15+),Made a digital payment (% age 15+),"Made a digital payment, female (% age 15+)","Made a digital payment, male (% age 15+)","Made a digital payment, rural (% age 15+)","Made a digital payment, urban (% age 15+)",Made a utility payment (% age 15+),"Made a utility payment, female (% age 15+)","Made a utility payment, male (% age 15+)","Made a utility payment, rural (% age 15+)","Made a utility payment, urban (% age 15+)",Made a utility payment: using a financial institution account (% age 15+),Made a utility payment: using a mobile phone (% age 15+),"Made a withdrawal (% with a financial institution account, age 15+)",Made or received a digital payment (% age 15+),"Made or received a digital payment, female (% age 15+)","Made or received a digital payment, male (% age 15+)","Made or received a digital payment, rural (% age 15+)","Made or received a digital payment, urban (% age 15+)",Mobile money account (% age 15+),"Mobile money account, female (% age 15+)","Mobile money account, male (% age 15+)","Mobile money account, rural (% age 15+)","Mobile money account, urban (% age 15+)",Own a mobile phone (% age 15+),Owns a debit or credit card (% age 15+),"Owns a debit or credit card, female (% age 15+)","Owns a debit or credit card, male (% age 15+)","Owns a debit or credit card, rural (% age 15+)","Owns a debit or credit card, urban (% age 15+)",Received digital payments (% age 15+),"Received digital payments, female (% age 15+)","Received digital payments, male (% age 15+)","Received digital payments, rural (% age 15+)","Received digital payments, urban (% age 15+)",Saved at a financial institution or using a mobile money account (% age 15+),"Saved at a financial institution or using a mobile money account, female (% age 15+)","Saved at a financial institution or using a mobile money account, male (% age 15+)","Saved at a financial institution or using a mobile money account, rural (% age 15+)","Saved at a financial institution or using a mobile money account, urban (% age 15+)",Saved money using a mobile money account (% age 15+),"Saved money using a mobile money account, female (% age 15+)","Saved money using a mobile money account, male (% age 15+)","Saved money using a mobile money account, rural (% age 15+)","Saved money using a mobile money account, urban (% age 15+)",Store money using a financial institution or a mobile money account (% age 15+),"Store money using a financial institution or a mobile money account (% with an account,  age 15+)",Store money using a mobile money account (% age 15+),"Store money using a mobile money account (% with a mobile money account acount, age 15+)","Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)","Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",Used a mobile phone or the internet to access a financial institution account (% age 15+),"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)","Used a mobile phone or the internet to access an account (% with an account, age 15+)",Used a mobile phone or the internet to access an account(% age 15+),"Used a mobile phone or the internet to access an account, female (% age 15+)","Used a mobile phone or the internet to access an account, male (% age 15+)","Used a mobile phone or the internet to access an account, rural (% age 15+)","Used a mobile phone or the internet to access an account, urban (% age 15+)",Used a mobile phone or the internet to buy something online (% age 15+),"Used a mobile phone or the internet to buy something online, female (% age 15+)","Used a mobile phone or the internet to buy something online, male (% age 15+)","Used a mobile phone or the internet to buy something online, rural (% age 15+)","Used a mobile phone or the internet to buy something online, urban (% age 15+)",Used a mobile phone or the internet to check account balance(% age 15+),"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)","Used a mobile phone or the internet to pay bills, female (% age 15+)","Used a mobile phone or the internet to pay bills, male (% age 15+)","Used a mobile phone or the internet to pay bills, rural (% age 15+)","Used a mobile phone or the internet to pay bills, urban (% age 15+)",Used a mobile phone or the internet to send money (% age 15+),"Used a mobile phone or the internet to send money, female (% age 15+)","Used a mobile phone or the internet to send money, male (% age 15+)","Used a mobile phone or the internet to send money, rural (% age 15+)","Used a mobile phone or the internet to send money, urban (% age 15+)",Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,Food supply quantity (kg/capita/yr)_Starchy Roots,rolling_std,Rural Access to Electricity(Percent of Population),Mobile Cellular Subscriptions (per 100 people),Fixed Broadband Subsciptions (per 100 people),mobile_money_transactions
count,1299,1299.0,1183.0,701.0,1183.0,1129.0,1137.0,1167.0,1183.0,121.0,1183.0,1183.0,94.0,63.0,133.0,143.0,64.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,183.0,202.0,328.0,328.0,321.0,321.0,321.0,183.0,202.0,321.0,290.0,302.0,302.0,302.0,183.0,202.0,302.0,290.0,290.0,183.0,202.0,149.0,321.0,321.0,321.0,183.0,202.0,321.0,321.0,321.0,183.0,202.0,321.0,321.0,321.0,321.0,321.0,321.0,183.0,202.0,302.0,302.0,302.0,183.0,202.0,302.0,321.0,321.0,321.0,183.0,202.0,321.0,321.0,321.0,183.0,202.0,302.0,302.0,302.0,183.0,202.0,302.0,302.0,302.0,183.0,202.0,302.0,302.0,190.0,190.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,0.0,0.0,302.0,302.0,302.0,183.0,202.0,302.0,302.0,302.0,302.0,183.0,202.0,302.0,302.0,302.0,183.0,202.0,374.0,374.0,370.0,601.0,951.0,488.0,168.0
unique,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,1997.1624326404926,3.719742180896027,18222.361458886793,63.59206265591819,54.5887511071745,507.1943305132963,1.837808149706967,129413767.90786137,18.327272727272728,64.59151986475064,35.40848013524937,2001.5913916063828,12.433866984126984,5054763.489802361,556532.6281765035,267.2488503125,51.96201453790239,51.96201453790239,49.192035306334375,54.72382139148494,54.09127206645898,44.443136033229486,42.920005192108,56.94217030114227,61.90480269989615,46.144241952232605,49.192035306334375,54.72382139148494,51.381584699453555,65.8470297029703,-0.6541791554792796,126004013.278691,50.16771028037383,47.76455347871236,52.56136033229491,48.121475409836066,63.14856435643564,56.549517133956385,19.766344827586206,14.936357615894039,13.74612582781457,16.155430463576156,4.119289617486339,14.491732673267327,22.731854304635764,20.343827586206896,23.85162068965517,8.584371584699454,23.277227722772277,16.573892617449665,28.265192107995848,25.08806334371755,31.449169262720666,23.729453551912574,41.45311881188118,52.938052959501555,51.24045171339563,54.501926272066456,52.40677595628416,53.118811881188115,9.732180685358257,4.192855659397715,57.27550882658359,35.33735721703011,31.800347871235722,38.879958463136035,32.52153005464481,49.254009900990106,9.607865026805424,7.674209239987385,11.586048565121413,10.913387978142078,18.023465346534653,83.81493377483444,29.134210799584633,26.448592938733125,31.81529595015576,22.664207650273227,41.31514851485149,23.997808930425748,21.4165005192108,26.607113187954308,21.603224043715848,33.174603960396034,23.510629139072844,22.3426821192053,24.7382119205298,13.886174863387978,23.92391089108911,4.497450331125828,3.933940397350993,5.077119205298013,2.216448087431694,3.4349504950495047,36.476721854304635,55.102715231788096,10.31942105263158,43.00457894736842,22.243708609271525,33.23791390728477,10.382814569536425,16.029006622516555,22.82135761589404,13.140927152317882,11.082350993377483,15.222880794701984,,,15.233990066225166,15.337400662251657,15.121109271523178,8.246229508196722,20.574950495049503,16.4708940397351,25.64620860927152,11.077036423841058,14.036903973509935,8.024754098360656,19.895,21.572947019867552,18.37049668874172,24.8741059602649,8.292131147540983,20.33653465346535,217.89585561497324,54.36219251336898,11.071854197929,78.34093862434369,45.26539526150579,5.105290310489754,18741753.154750515
std,,19.796513496574946,1.736221753296589,28862.561149301604,10.395211461639779,46.52225852475188,1341.8522889295164,1.1546906825340717,288686446.86530155,12.193311007816266,23.700343145210937,23.700343145210944,1983.6680440253451,5.501344632510643,8262958.191345195,953865.0411148762,530.612386218235,24.673963957130482,24.673963957130482,25.496615495658865,24.560609023809445,24.47557613073649,27.320860904029725,25.30841438171238,23.221564182545958,21.24279580749115,25.25538449747713,25.496615495658865,24.560609023809445,23.635430221611024,19.74605846654687,9.355992780611258,24688518486.84642,25.46883778530205,26.232088092344924,25.173146653608097,25.232277874030796,22.247701483788344,17.53081205052009,22.411785682058827,16.60286151870296,16.71256709468697,16.710542685899668,3.750743375147158,14.12017935941719,23.369079960735736,23.478372087670934,24.082728576790803,10.295936118899672,24.556697017222113,15.268956904381207,21.9814021689626,21.821916665568036,22.78809617821354,15.079991136164066,20.666729931111867,15.40151651725855,19.89235702948614,13.182165701265616,17.99144949505306,14.78156713408831,11.195213762112965,5.426830745907383,15.958790838791431,23.441801644095726,23.436476892394456,24.03714350735255,18.850778363208693,20.69733511483116,10.450260724522886,9.560232316043946,11.875419746642546,10.275668235657731,8.118667443981021,11.776850983968071,24.17624332781106,24.22334024781445,24.499967596754104,22.931349224442677,28.479032895350407,19.65153102717418,19.307838324877295,20.219003411377653,16.12273382965297,19.914128914903287,17.13657443376007,17.609004579589335,16.763223375046874,9.851624098383384,18.10013542875533,4.198052204868414,4.514947640424114,4.139426827973675,1.4768432164676593,2.9000273197417488,22.729189120055914,16.864419993169438,4.797816983920359,11.564436113620474,20.748389269937782,20.727898767798717,13.0101024007165,13.14607268034448,15.060700894705805,12.888770942695825,12.53641942750963,13.936221144189798,,,16.07301284529911,16.123183333965535,16.181153220269994,9.70347334957631,19.751381669600573,17.748205149870543,19.574372298193822,14.09639533988754,14.686600829078019,7.295568564612246,16.358526714489194,16.75989344128705,17.440557748241783,16.450164517511276,5.99348495591436,13.638558446142428,42.4293933372969,61.07167928093513,11.911300563301143,26.460132803122136,55.34492513479216,6.933406298279102,66919256.06777362
min,,1960.0,0.97,759.282764169675,11.295,1.7,4.93551355863279,-8.40364496076773,88347.0,4.3,0.0,3.48,6.213952,3.7037,113.311679,391.57726,3.55432,3.66,3.66,2.95,3.6,3.3,0.82,2.17,5.55,15.54,4.52,2.95,3.6,15.56,24.51,-29.6082488651911,-91471245845.7231,3.66,2.95,3.6,11.93,19.13,24.91,0.81,0.34,0.2,0.48,0.08,0.41,1.07,0.45,1.67,1.0,1.12,1.69,2.02,1.47,1.69,9.83,18.19,18.34,12.92,23.58,31.11,33.03,0.0,0.0,28.04,4.32,3.91,4.46,11.53,21.59,0.08,0.05,0.0,3.62,9.5,62.99,1.7,0.45,2.54,3.96,5.24,2.79,1.34,3.18,3.99,10.82,2.83,0.48,5.08,2.52,3.02,0.59,0.06,0.36,0.49,0.74,7.89,27.77,5.67,19.55,2.44,11.53,0.66,2.59,4.22,1.1,0.81,1.16,,,0.64,0.49,0.54,0.0,1.06,0.66,2.59,0.16,1.47,0.89,6.83,3.94,2.06,5.86,2.0,7.29,129.68,5.72,0.6824734427203347,0.6,0.0,0.000388946,0.044966575
25%,,1980.0,2.1870000000000003,4371.38571771897,57.236999999999995,19.3,58.8119433876122,1.19162966402099,6688529.0,9.4,55.6525,18.9085,67.9244725,7.71605,5748.565569,5248.063409,28.287175,31.44,31.44,29.7725,31.887500000000003,35.19,20.68,22.09166666666667,39.29,46.082,23.656666666666663,29.7725,31.887500000000003,30.08,53.7,-3.5998627861173174,-5362970002.43642,30.58,28.0175,30.366666666666667,30.08,50.54,41.63,4.84,3.7,2.76,4.75,2.15,5.17,5.41,4.07,6.93,2.15,7.03,5.88,13.64,9.58,15.42,13.89,31.82,39.733333333333334,33.72,47.9575,32.49,36.61,1.67,0.54,43.6075,17.637500000000003,14.72,21.16,20.52,40.16,2.83,1.925,3.49,4.44,11.62,78.94,10.3775,8.65,13.2,10.59,21.39,9.66,8.32,12.46,10.79,20.64,12.83,12.51,13.16,6.86,8.56,1.73,1.24,1.84,1.43,1.37,21.9,44.53,5.97,37.59,6.81,15.35,1.97,6.27,6.63,5.3,3.36,6.45,,,2.86,2.34,3.49,2.68,7.98,4.48,9.38,2.72,3.38,4.07,9.4,8.28,4.6,9.71,3.94,10.48,184.47,18.76,3.1212023452889524,63.5,0.0,0.615923,2.4736114254999997
50%,,2000.0,3.315,6843.54654972364,66.232,40.2,119.497004516268,1.85417955110796,30758811.0,16.0,70.431,29.569,1652.88764,11.1111,599004.0,29027.407875,111.727,47.79,47.79,43.13,49.98,50.225,36.6,34.79,55.305,59.2475,41.5075,43.13,49.98,49.99,68.84,-1.05242685359728,-805723173.28916,40.97,37.85,46.5575,45.21,68.84,55.69,11.39,8.31,5.89,10.24,3.15,11.95,12.95,13.59,17.71,5.7,16.73,10.91,19.97,16.49,23.72,18.5,34.15,55.21,53.9825,53.72,46.88,54.34,6.35,2.345,53.23,28.58,24.16,33.16,28.99,44.31,6.09,4.32,7.265000000000001,6.06,14.17,82.8,22.82,19.74,24.54,16.02,36.02,17.62,15.49,19.7875,18.33,25.87,17.21,16.65,18.28,11.58,20.32,3.3,1.87,2.98,1.98,1.97,29.83,50.26,10.65,44.74,12.07,23.39,5.0,12.62,21.28,7.59,6.98,7.1,,,8.28,7.2275,7.37,5.79,11.16,8.22625,16.3,4.72,8.33,5.62,13.15,17.58,7.64,28.28,6.25,15.43,218.65,29.46,5.657647580212926,90.0,3.737724571,1.9488,179.6952964
75%,,2016.0,5.3985,13491.879417397,70.6855,81.5,285.568271326276,2.4317202951718153,95256066.0,22.5,81.0915,44.3475,3467.7295664999997,18.8272,4860227.0,774143.2540124999,176.0405,77.53,77.53,76.64,77.7325,79.07,73.28666666666666,66.19333333333333,78.90333333333334,82.21,68.475,76.64,77.7325,77.26,77.83,2.6974978883047025,3510715050.41252,77.3,76.64,77.15,77.03,77.62,70.91749999999999,21.17,18.14,16.94,19.41,5.14,19.23,24.26,22.77,25.84,7.72,23.17,16.54,37.9675,33.86,43.77,39.62,40.88,62.8,67.31,62.76,63.95,62.25,13.2575,5.25,67.94333333333333,44.35,39.31,49.947500000000005,44.7,45.44,10.67,9.6175,13.92,19.88,27.41,95.74,36.16,36.71,41.62,20.72,55.82,27.3,24.28,32.52,27.6,29.61,30.84,29.25,32.4,15.06,26.55,6.59,6.07,7.68,2.88,5.21,47.95,70.62,11.77,51.98,32.23,51.52,7.51,20.17,36.09,22.41,11.53,26.66,,,24.39,23.95,24.84,6.96,21.41,19.807499999999997,41.82,13.838750000000001,20.067500000000003,8.75,22.86,31.6,29.92,33.38,15.98,19.28,254.995,53.13,14.2125584748043,99.5,93.220269415,7.1033675,2101688.0605
