Variable,VIF
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),11566.43446684755
Current account balance (% of GDP),8.103438958333799
"Current account balance (BoP, current US$)",5.5126806449952035
Financial institution account (% age 15+),13682.19864481236
Mobile money account (% age 15+),242.71397581178405
Owns a debit or credit card (% age 15+),456.18267514430676
Received digital payments (% age 15+),280.2159115242389
Saved at a financial institution or using a mobile money account (% age 15+),204709073971386.2
Saved money using a mobile money account (% age 15+),50039995859672.18
Store money using a financial institution or a mobile money account (% age 15+),1000799917193443.5
"Store money using a financial institution or a mobile money account (% with an account,  age 15+)",1286742750677284.5
Store money using a mobile money account (% age 15+),32168568766932.113
"Store money using a mobile money account (% with a mobile money account acount, age 15+)",183820392953897.78
Mobile Cellular Subscriptions (per 100 people),20.408835112836016
Fixed Broadband Subsciptions (per 100 people),219.71520948283523
Made a digital in-store merchant payment: using a mobile phone (% age 15+),68236357990462.06
Made a utility payment: using a mobile phone (% age 15+),218.2567422542702
Own a mobile phone (% age 15+),50319548909167.555
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)",409418147942772.4
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",1286742750677284.5
Used a mobile phone or the internet to access a financial institution account (% age 15+),1125899906842624.0
"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)",98980211590560.36
"Used a mobile phone or the internet to access an account (% with an account, age 15+)",230953827044640.8
Used a mobile phone or the internet to access an account(% age 15+),4503599627370496.0
Used a mobile phone or the internet to buy something online (% age 15+),1346.4978987163572
Used a mobile phone or the internet to check account balance(% age 15+),773.3940145623383
"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)",1139.171714592401
Used a mobile phone or the internet to send money (% age 15+),56294995342131.2
"GDP per capita, PPP (constant 2021 international $)",631.0322057708255
Population density (people per sq. km of land area),66643.17194420444
Population growth (annual %),84.50996130205426
"Population, total",33571.12735719274
Rural Access to Electricity(Percent of Population),59.77563143331607
"Fertility rate, total (births per woman)",137.7413179486097
"Life expectancy at birth, total (years)",37.88851169191741
"Mortality rate, infant (per 1,000 live births)",477.6519445115972
Rural population (% of total population),173215370283480.62
Urban population (% of total population),3002399751580330.5
