Variable,VIF
Current account balance (% of GDP),1.7353840534536282
"Current account balance (BoP, current US$)",1.4119172545247087
Mobile money account (% age 15+),3.007398837857375
Mobile Cellular Subscriptions (per 100 people),11.454542669625537
Fixed Broadband Subsciptions (per 100 people),5.843673717860112
Made a digital in-store merchant payment: using a mobile phone (% age 15+),5.203494904445878
"GDP per capita, PPP (constant 2021 international $)",9.487260461615916
Population density (people per sq. km of land area),2.3075077083979822
Population growth (annual %),7.646644307618105
"Mortality rate, infant (per 1,000 live births)",5.983262874891268
