Variable,VIF
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),236.62960218171125
Current account balance (% of GDP),2.0127481262140927
"Current account balance (BoP, current US$)",1.9569182598561323
Financial institution account (% age 15+),281.3578698764123
Mobile money account (% age 15+),24.228119846888024
Owns a debit or credit card (% age 15+),21.82389634570938
Received digital payments (% age 15+),45.647011467856174
Mobile Cellular Subscriptions (per 100 people),5.2679675157334485
Fixed Broadband Subsciptions (per 100 people),7.164612160280392
Made a digital in-store merchant payment: using a mobile phone (% age 15+),8.063851161097919
Made a utility payment: using a mobile phone (% age 15+),16.801147315725135
Own a mobile phone (% age 15+),4.90482730842897
"GDP per capita, PPP (constant 2021 international $)",30.630800256959976
Population density (people per sq. km of land area),5.939718866735844
Population growth (annual %),2.0120174755866054
"Fertility rate, total (births per woman)",7.745333968470673
"Life expectancy at birth, total (years)",23.57605147313999
"Mortality rate, infant (per 1,000 live births)",17.275390864354385
Rural population (% of total population),4557.206595048264
Urban population (% of total population),1248.3522993008403
